Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
538415,3 Inst,01/01/2019,04/18/2019,65.9,107
538416,1 Intro,09/06/2018,09/14/2018,7.5,8
538417,2 Private,09/05/2018,02/21/2019,64.2,169
538417,3 Inst,03/20/2019,06/01/2019,49.5,73
538417,4 Com Sgl,06/13/2019,01/23/2020,145.7,224
538417,5 Com Mul,12/07/2020,03/22/2021,19.2,105
538417,6 CFI,01/17/2020,06/26/2020,19.3,161
538417,8 CFII,07/24/2020,09/05/2020,8.1,43
538417,9 MEI,03/23/2021,04/26/2021,14.7,34
543679,2 Private,10/01/2018,03/04/2019,61.0,154
543679,3 Inst,03/11/2019,05/10/2019,29.0,60
543679,4 Com Sgl,05/16/2019,08/16/2019,120.0,92
543679,5 Com Mul,09/01/2020,12/18/2020,17.9,108
543679,8 CFII,02/06/2020,05/31/2020,5.8,115
543679,9 MEI,12/21/2020,02/02/2021,15.9,43
543680,2 Private,10/01/2018,07/31/2019,83.2,303
543680,3 Inst,08/14/2019,12/11/2019,57.5,119
543680,4 Com Sgl,12/20/2019,10/01/2020,125.3,286
543680,5 Com Mul,10/14/2020,12/29/2020,22.5,76
543681,2 Private,10/01/2018,01/31/2019,55.4,122
543681,3 Inst,02/16/2019,04/11/2019,26.0,54
543681,4 Com Sgl,04/22/2019,10/18/2019,135.2,179
543687,1 Intro,10/01/2018,11/05/2018,18.0,35
543687,3 Inst,10/29/2018,03/08/2019,47.0,130
543687,4 Com Sgl,03/14/2019,09/13/2019,120.6,183
543689,1 Intro,10/01/2018,10/25/2018,19.6,24
543692,1 Intro,10/01/2018,11/02/2018,13.0,32
543692,3 Inst,11/13/2018,03/26/2019,52.9,133
543692,4 Com Sgl,03/29/2019,11/17/2019,128.9,233
543692,6 CFI,12/23/2019,10/06/2020,27.8,288
543704,2 Private,10/01/2018,01/30/2019,60.5,121
543704,3 Inst,02/25/2019,06/14/2019,35.3,109
543704,4 Com Sgl,07/10/2019,12/26/2019,141.1,169
543704,5 Com Mul,02/01/2021,04/16/2021,18.8,74
543704,6 CFI,01/17/2020,07/20/2020,16.7,185
543704,8 CFII,09/14/2020,01/23/2021,12.1,131
543704,9 MEI,04/20/2021,06/05/2021,23.8,46
552909,2 Private,11/05/2018,06/27/2019,58.7,234
552909,3 Inst,07/10/2019,05/31/2020,74.7,326
552909,4 Com Sgl,06/14/2020,09/02/2021,156.7,445
552915,2 Private,11/05/2018,03/11/2019,60.6,126
552915,3 Inst,03/19/2019,06/03/2019,35.5,76
552915,4 Com Sgl,06/11/2019,03/02/2021,137.1,630
552915,5 Com Mul,03/04/2021,04/26/2021,18.5,53
553328,2 Private,11/05/2018,04/09/2019,58.1,155
553328,3 Inst,04/16/2019,07/19/2019,38.4,94
553328,4 Com Sgl,07/26/2019,12/05/2019,137.9,132
553328,5 Com Mul,01/29/2021,05/06/2021,27.0,97
553328,6 CFI,12/16/2019,02/02/2020,9.2,48
553328,8 CFII,06/24/2020,08/03/2020,5.9,40
553328,9 MEI,05/07/2021,08/04/2021,25.5,89
553334,1 Intro,11/05/2018,01/25/2019,18.4,81
553337,1 Intro,11/05/2018,12/09/2018,11.0,34
553337,3 Inst,12/09/2018,03/16/2019,48.4,97
553337,4 Com Sgl,03/19/2019,08/15/2019,123.4,149
553337,5 Com Mul,06/01/2020,07/23/2020,7.5,52
553337,8 CFII,10/14/2019,02/11/2020,6.9,120
568685,2 Private,12/18/2018,05/03/2019,55.8,136
568685,3 Inst,05/06/2019,07/12/2019,38.3,67
568685,4 Com Sgl,08/06/2019,08/11/2020,139.9,371
568685,5 Com Mul,09/08/2021,10/16/2021,23.3,38
568685,6 CFI,08/31/2020,07/15/2021,34.5,318
568685,8 CFII,07/16/2021,09/04/2021,22.2,50
